qualifyId,raceId,driverId,driver_ref,constructorId,constructor_ref,number,position,q1,q2,q3,q1_ms,q2_ms,q3_ms,,
67,21,8,raikkonen,6,ferrari,1,1,01:20.7,01:20.8,01:21.8,80701,80784,81813,,
68,21,4,alonso,4,renault,5,2,01:21.3,01:20.8,01:21.9,81347,80804,81904,,
69,21,13,massa,6,ferrari,2,3,01:21.5,01:20.6,01:22.1,81528,80584,82058,,
70,21,9,kubica,2,bmw_sauber,4,4,01:21.4,01:20.6,01:22.1,81423,80597,82065,,
71,21,1,hamilton,1,mclaren,22,5,01:21.4,01:20.8,01:22.1,81366,80825,82096,,
72,21,5,kovalainen,1,mclaren,23,6,01:21.4,01:20.8,01:22.2,81430,80817,82231,,
73,21,17,webber,9,red_bull,10,7,01:21.5,01:21.0,01:22.4,81494,80984,82429,,
74,21,15,trulli,7,toyota,11,8,01:21.2,01:20.9,01:22.5,81158,80907,82529,,
75,21,2,heidfeld,2,bmw_sauber,3,9,01:21.5,01:20.8,01:22.5,81466,80815,82542,,
76,21,12,piquet_jr,4,renault,6,10,01:21.4,01:20.9,01:22.7,81409,80894,82699,,
77,21,22,barrichello,11,honda,17,11,01:21.5,01:21.0,NULL,81548,81049,0,,
78,21,6,nakajima,3,williams,8,12,01:21.7,01:21.1,NULL,81690,81117,0,,
79,21,18,button,11,honda,16,13,01:21.8,01:21.2,NULL,81757,81211,0,,
80,21,10,glock,7,toyota,12,14,01:21.4,01:21.2,NULL,81427,81230,0,,
81,21,3,rosberg,3,williams,7,15,01:21.5,01:21.3,NULL,81472,81349,0,,
82,21,7,bourdais,5,toro_rosso,14,16,01:21.5,01:21.7,NULL,81540,81724,0,,
83,21,14,coulthard,9,red_bull,9,17,01:21.8,,NULL,81810,0,0,,
84,21,20,vettel,5,toro_rosso,15,18,01:22.1,,NULL,82108,0,0,,
85,21,21,fisichella,10,force_india,21,19,01:22.5,,NULL,82516,0,0,,
86,21,16,sutil,10,force_india,20,20,01:23.2,,NULL,83224,0,0,,
87,21,19,davidson,8,super_aguri,19,21,01:23.3,,NULL,83318,0,0,,
88,21,11,sato,8,super_aguri,18,22,01:23.5,,NULL,83496,0,0,,
89,22,13,massa,6,ferrari,2,1,01:26.0,01:26.2,01:27.6,85994,86192,87617,,
90,22,5,kovalainen,1,mclaren,23,2,01:26.7,01:26.3,01:27.8,86736,86290,87808,,
91,22,1,hamilton,1,mclaren,22,3,01:26.2,01:26.5,01:27.9,86192,86477,87923,,
92,22,8,raikkonen,6,ferrari,1,4,01:26.5,01:26.1,01:27.9,86457,86050,87936,,
93,22,9,kubica,2,bmw_sauber,4,5,01:26.8,01:26.1,01:28.4,86761,86129,88390,,
94,22,17,webber,9,red_bull,10,6,01:26.8,01:26.5,01:28.4,86773,86466,88417,,
95,22,4,alonso,4,renault,5,7,01:26.8,01:26.5,01:28.4,86836,86522,88422,,
96,22,15,trulli,7,toyota,11,8,01:26.7,01:26.8,01:28.8,86695,86822,88836,,
97,22,2,heidfeld,2,bmw_sauber,3,9,01:27.1,01:27.6,01:28.9,87107,87607,88882,,
98,22,14,coulthard,9,red_bull,9,10,01:26.9,01:26.5,01:30.0,86939,86520,89959,,
99,22,3,rosberg,3,williams,7,11,01:27.4,01:27.0,NULL,87367,87012,0,,
100,22,22,barrichello,11,honda,17,12,01:27.4,01:27.2,NULL,87355,87219,0,,
101,22,18,button,11,honda,16,13,01:27.4,01:27.3,NULL,87428,87298,0,,
102,22,20,vettel,5,toro_rosso,15,14,01:27.4,01:27.4,NULL,87442,87412,0,,
103,22,10,glock,7,toyota,12,15,01:26.6,01:27.8,NULL,86614,87806,0,,
104,22,6,nakajima,3,williams,8,16,01:27.5,,NULL,87547,0,0,,
105,22,12,piquet_jr,4,renault,6,17,01:27.6,,NULL,87568,0,0,,
106,22,7,bourdais,5,toro_rosso,14,18,01:27.6,,NULL,87621,0,0,,
107,22,21,fisichella,10,force_india,21,19,01:27.8,,NULL,87807,0,0,,
108,22,16,sutil,10,force_india,20,20,01:28.3,,NULL,88325,0,0,,
109,23,13,massa,6,ferrari,2,1,01:15.2,01:15.1,01:15.8,75190,75110,75787,,
110,23,8,raikkonen,6,ferrari,1,2,01:15.7,01:15.4,01:15.8,75717,75404,75815,,
111,23,1,hamilton,1,mclaren,22,3,01:15.6,01:15.3,01:15.8,75582,75322,75839,,
112,23,5,kovalainen,1,mclaren,23,4,01:15.3,01:15.4,01:16.2,75295,75389,76165,,
113,23,9,kubica,2,bmw_sauber,4,5,01:16.0,01:15.5,01:16.2,75977,75483,76171,,
114,23,3,rosberg,3,williams,7,6,01:15.9,01:15.3,01:16.5,75935,75287,76548,,
115,23,4,alonso,4,renault,5,7,01:16.6,01:15.8,01:16.9,76646,75827,76852,,
116,23,15,trulli,7,toyota,11,8,01:16.3,01:15.6,01:17.2,76306,75598,77203,,
117,23,17,webber,9,red_bull,10,9,01:16.1,01:15.7,01:17.3,76074,75745,77343,,
118,23,14,coulthard,9,red_bull,9,10,01:16.1,01:15.8,NULL,76086,75839,0,,
119,23,10,glock,7,toyota,12,11,01:16.3,01:15.9,NULL,76285,75907,0,,
120,23,18,button,11,honda,16,12,01:16.3,01:16.1,NULL,76259,76101,0,,
121,23,2,heidfeld,2,bmw_sauber,3,13,01:16.6,01:16.5,NULL,76650,76455,0,,
122,23,6,nakajima,3,williams,8,14,01:16.8,01:16.5,NULL,76756,76479,0,,
123,23,22,barrichello,11,honda,17,15,01:16.2,01:16.5,NULL,76208,76537,0,,
124,23,7,bourdais,5,toro_rosso,14,16,01:16.8,,NULL,76806,0,0,,
125,23,12,piquet_jr,4,renault,6,17,01:16.9,,NULL,76933,0,0,,
126,23,20,vettel,5,toro_rosso,15,18,01:17.0,,NULL,76955,0,0,,
127,23,16,sutil,10,force_india,20,19,01:17.2,,NULL,77225,0,0,,
128,23,21,fisichella,10,force_india,21,20,01:17.8,,NULL,77823,0,0,,
129,24,1,hamilton,1,mclaren,22,1,01:16.9,01:17.0,01:17.9,76909,77034,77886,,
130,24,9,kubica,2,bmw_sauber,4,2,01:17.5,01:17.7,01:18.5,77471,77679,78498,,
131,24,8,raikkonen,6,ferrari,1,3,01:17.3,01:17.4,01:18.7,77301,77364,78735,,
132,24,4,alonso,4,renault,5,4,01:17.4,01:17.5,01:18.7,77415,77488,78746,,
133,24,3,rosberg,3,williams,7,5,01:18.0,01:17.9,01:18.8,77991,77891,78844,,
134,24,13,massa,6,ferrari,2,6,01:17.2,01:17.4,01:19.0,77231,77353,79048,,
135,24,5,kovalainen,1,mclaren,23,7,01:17.3,01:17.7,01:19.1,77287,77684,79089,,
136,24,2,heidfeld,2,bmw_sauber,3,8,01:18.1,01:17.8,01:19.6,78082,77781,79633,,
137,24,22,barrichello,11,honda,17,9,01:18.3,01:18.0,01:20.8,78256,78020,80848,,
138,24,17,webber,9,red_bull,10,10,01:17.6,01:17.5,NULL,77582,77523,0,,
139,24,10,glock,7,toyota,12,11,01:18.3,01:18.0,NULL,78321,78031,0,,
140,24,6,nakajima,3,williams,8,12,01:17.6,01:18.1,NULL,77638,78062,0,,
141,24,14,coulthard,9,red_bull,9,13,01:18.2,01:18.2,NULL,78168,78238,0,,
142,24,15,trulli,7,toyota,11,14,01:18.0,01:18.3,NULL,78039,78327,0,,
