,resultId,raceId,driverId,driverId_Ref,constructorId,constructorId_Ref,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapTime_ms,fastestLapSpeed,statusId,statusId_name
1574,1575,93,30,michael_schumacher,6,ferrari,1.0,2,1.0,1,1,10.0,62,26:19.7,5179670.0,10.0,1.0,01:20.4,80400,220.85,1,Finished
1594,1595,94,30,michael_schumacher,6,ferrari,1.0,1,1.0,1,1,10.0,66,27:32.8,5252841.0,12.0,1.0,01:17.5,77500,215.07,1,Finished
1614,1615,95,15,trulli,4,renault,7.0,1,1.0,1,1,10.0,77,45:46.6,6346601.0,22.0,2.0,01:14.9,74900,160.598,1,Finished
1634,1635,96,30,michael_schumacher,6,ferrari,1.0,1,1.0,1,1,10.0,60,32:35.1,5555101.0,7.0,1.0,01:29.5,89500,207.144,1,Finished
1654,1655,97,30,michael_schumacher,6,ferrari,1.0,6,1.0,1,1,10.0,70,28:24.8,5304803.0,18.0,2.0,01:13.6,73600,213.222,1,Finished
1674,1675,98,30,michael_schumacher,6,ferrari,1.0,2,1.0,1,1,10.0,73,40:29.9,6029914.0,8.0,2.0,01:10.4,70400,214.327,1,Finished
1694,1695,99,30,michael_schumacher,6,ferrari,1.0,2,1.0,1,1,10.0,70,30:18.1,5418133.0,32.0,1.0,01:15.4,75400,210.669,1,Finished
1714,1715,100,30,michael_schumacher,6,ferrari,1.0,4,1.0,1,1,10.0,60,24:42.7,5082700.0,14.0,1.0,01:18.7,78700,235.049,1,Finished
1734,1735,101,30,michael_schumacher,6,ferrari,1.0,1,1.0,1,1,10.0,66,23:54.8,5034848.0,5.0,2.0,01:13.8,73800,223.173,1,Finished
1754,1755,102,30,michael_schumacher,6,ferrari,1.0,1,1.0,1,1,10.0,70,35:26.1,5726131.0,29.0,1.0,01:19.1,79100,199.461,1,Finished
1774,1775,103,8,raikkonen,1,mclaren,6.0,10,1.0,1,1,10.0,44,32:35.3,5555274.0,42.0,1.0,01:45.1,105100,238.931,1,Finished
1794,1795,104,22,barrichello,6,ferrari,2.0,1,1.0,1,1,10.0,53,15:18.4,4518448.0,41.0,1.0,01:21.0,81000,257.32,1,Finished
1814,1815,105,22,barrichello,6,ferrari,2.0,1,1.0,1,1,10.0,56,29:12.4,5352420.0,28.0,2.0,01:32.5,92500,212.25,1,Finished
1834,1835,106,30,michael_schumacher,6,ferrari,1.0,1,1.0,1,1,10.0,53,24:27.0,5066985.0,41.0,2.0,01:32.8,92800,225.281,1,Finished
1854,1855,107,31,montoya,3,williams,3.0,2,1.0,1,1,10.0,71,28:01.5,5281451.0,49.0,1.0,01:11.5,71500,217.038,1,Finished
1874,1875,108,14,coulthard,1,mclaren,5.0,11,1.0,1,1,10.0,58,34:42.1,5682100.0,,,,0,,1,Finished
1894,1895,109,8,raikkonen,1,mclaren,6.0,7,1.0,1,1,10.0,56,32:22.2,5542195.0,,,,0,,1,Finished
1914,1915,110,21,fisichella,17,jordan,11.0,8,1.0,1,1,10.0,54,31:18.2,5478200.0,,,,0,,1,Finished
1934,1935,111,30,michael_schumacher,6,ferrari,1.0,1,1.0,1,1,10.0,62,28:12.1,5292058.0,,,,0,,1,Finished
1954,1955,112,30,michael_schumacher,6,ferrari,1.0,1,1.0,1,1,10.0,65,33:46.9,5626933.0,,,,0,,1,Finished
1974,1975,113,30,michael_schumacher,6,ferrari,1.0,1,1.0,1,1,10.0,69,24:04.9,5044888.0,,,,0,,1,Finished
1994,1995,114,31,montoya,3,williams,3.0,3,1.0,1,1,10.0,78,42:19.0,6139010.0,,,,0,,1,Finished
2014,2015,115,30,michael_schumacher,6,ferrari,1.0,3,1.0,1,1,10.0,70,31:13.6,5473591.0,,,,0,,1,Finished
