,resultId,raceId,driverId,driverId_Ref,constructorId,constructorId_Ref,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapTime_ms,fastestLapSpeed,statusId,statusId_name
4746,4747,241,71,damon_hill,3,williams,5.0,2,1.0,1,1,10.0,72,53:14.5,6794532.0,,,,0,,1,Finished
4772,4773,242,71,damon_hill,3,williams,5.0,4,1.0,1,1,10.0,63,41:42.5,6102522.0,,,,0,,1,Finished
4798,4799,243,30,michael_schumacher,22,benetton,1.0,1,1.0,1,1,10.0,65,34:20.5,5660507.0,,,,0,,1,Finished
4824,4825,244,30,michael_schumacher,22,benetton,1.0,2,1.0,1,1,10.0,78,53:11.3,6791258.0,,,,0,,1,Finished
4850,4851,245,55,alesi,6,ferrari,27.0,5,1.0,1,1,10.0,68,44:54.2,6294171.0,,,,0,,1,Finished
4874,4875,246,30,michael_schumacher,22,benetton,1.0,2,1.0,1,1,10.0,72,38:28.4,5908429.0,,,,0,,1,Finished
4898,4899,247,65,herbert,22,benetton,2.0,5,1.0,1,1,10.0,61,34:35.1,5675093.0,,,,0,,1,Finished
4922,4923,248,30,michael_schumacher,22,benetton,1.0,2,1.0,1,1,10.0,45,22:56.0,4976043.0,,,,0,,1,Finished
4946,4947,249,71,damon_hill,3,williams,5.0,1,1.0,1,1,10.0,77,46:25.7,6385721.0,,,,0,,1,Finished
4970,4971,250,30,michael_schumacher,22,benetton,1.0,16,1.0,1,1,10.0,44,36:47.9,5807875.0,,,,0,,1,Finished
4994,4995,251,65,herbert,22,benetton,2.0,8,1.0,1,1,10.0,53,18:27.9,4707916.0,,,,0,,1,Finished
5018,5019,252,14,coulthard,3,williams,6.0,1,1.0,1,1,10.0,71,41:52.1,6112145.0,,,,0,,1,Finished
5042,5043,253,30,michael_schumacher,22,benetton,1.0,3,1.0,1,1,10.0,67,39:59.0,5999044.0,,,,0,,1,Finished
5066,5067,254,30,michael_schumacher,22,benetton,1.0,3,1.0,1,1,10.0,83,48:50.0,6529972.0,,,,0,,1,Finished
5090,5091,255,30,michael_schumacher,22,benetton,1.0,1,1.0,1,1,10.0,53,36:52.9,5812930.0,,,,0,,1,Finished
5114,5115,256,71,damon_hill,3,williams,5.0,1,1.0,1,1,10.0,81,49:15.9,6555946.0,,,,0,,1,Finished
5138,5139,257,30,michael_schumacher,22,benetton,5.0,2,1.0,1,1,10.0,71,35:39.2,5739200.0,,,,0,,1,Finished
5166,5167,258,30,michael_schumacher,22,benetton,5.0,2,1.0,1,1,10.0,83,46:01.7,6361693.0,,,,0,,1,Finished
5194,5195,259,30,michael_schumacher,22,benetton,5.0,2,1.0,1,1,10.0,58,28:28.6,5308642.0,,,,0,,1,Finished
5222,5223,260,30,michael_schumacher,22,benetton,5.0,1,1.0,1,1,10.0,78,49:55.3,6595300.0,,,,0,,1,Finished
5248,5249,261,71,damon_hill,3,williams,0.0,2,1.0,1,1,10.0,65,36:14.3,5774300.0,,,,0,,1,Finished
5275,5276,262,30,michael_schumacher,22,benetton,5.0,1,1.0,1,1,10.0,69,44:32.1,6272100.0,,,,0,,1,Finished
5302,5303,263,30,michael_schumacher,22,benetton,5.0,3,1.0,1,1,10.0,72,38:36.2,5916200.0,,,,0,,1,Finished
5330,5331,264,71,damon_hill,3,williams,0.0,1,1.0,1,1,10.0,60,30:03.6,5403640.0,,,,0,,1,Finished
5358,5359,265,77,berger,6,ferrari,28.0,1,1.0,1,1,10.0,45,22:37.2,4957200.0,,,,0,,1,Finished
5386,5387,266,30,michael_schumacher,22,benetton,5.0,1,1.0,1,1,10.0,77,48:00.2,6480185.0,,,,0,,1,Finished
5414,5415,267,71,damon_hill,3,williams,0.0,3,1.0,1,1,10.0,44,28:47.1,5327100.0,,,,0,,1,Finished
5442,5443,268,71,damon_hill,3,williams,0.0,3,1.0,1,1,10.0,53,18:03.2,4683200.0,,,,0,,1,Finished
5470,5471,269,71,damon_hill,3,williams,0.0,2,1.0,1,1,10.0,71,45:10.1,6310100.0,,,,0,,1,Finished
5498,5499,270,30,michael_schumacher,22,benetton,5.0,1,1.0,1,1,10.0,69,40:27.3,6027300.0,,,,0,,1,Finished
5526,5527,271,71,damon_hill,3,williams,0.0,2,1.0,1,1,10.0,50,55:53.5,6953532.0,,,,0,,1,Finished
5554,5555,272,95,mansell,3,williams,2.0,1,1.0,1,1,10.0,81,47:51.4,6471400.0,,,,0,,1,Finished
5582,5583,273,117,prost,3,williams,2.0,1,1.0,1,1,10.0,72,38:45.1,5925082.0,,,,0,,1,Finished
5608,5609,274,102,senna,1,mclaren,8.0,3,1.0,1,1,10.0,71,51:15.5,6675485.0,,,,0,,1,Finished
5634,5635,275,102,senna,1,mclaren,8.0,4,1.0,1,1,10.0,76,50:46.6,6646570.0,,,,0,,1,Finished
5660,5661,276,117,prost,3,williams,2.0,1,1.0,1,1,10.0,61,33:20.4,5600413.0,,,,0,,1,Finished
5686,5687,277,117,prost,3,williams,2.0,1,1.0,1,1,10.0,65,32:27.7,5547685.0,,,,0,,1,Finished
5712,5713,278,102,senna,1,mclaren,8.0,3,1.0,1,1,10.0,78,52:10.9,6730947.0,,,,0,,1,Finished
5738,5739,279,117,prost,3,williams,2.0,1,1.0,1,1,10.0,69,36:41.8,5801822.0,,,,0,,1,Finished
5764,5765,280,117,prost,3,williams,2.0,2,1.0,1,1,10.0,72,38:35.2,5915241.0,,,,0,,1,Finished
5790,5791,281,117,prost,3,williams,2.0,1,1.0,1,1,10.0,59,25:38.2,5138189.0,,,,0,,1,Finished
5816,5817,282,117,prost,3,williams,2.0,1,1.0,1,1,10.0,45,18:40.9,4720885.0,,,,0,,1,Finished
5842,5843,283,71,damon_hill,3,williams,0.0,2,1.0,1,1,10.0,77,47:39.1,6459098.0,,,,0,,1,Finished
5868,5869,284,71,damon_hill,3,williams,0.0,2,1.0,1,1,10.0,44,24:32.1,5072124.0,,,,0,,1,Finished
5894,5895,285,71,damon_hill,3,williams,0.0,2,1.0,1,1,10.0,53,17:07.5,4627509.0,,,,0,,1,Finished
5920,5921,286,30,michael_schumacher,22,benetton,5.0,6,1.0,1,1,10.0,71,32:46.3,5566309.0,,,,0,,1,Finished
5946,5947,287,102,senna,1,mclaren,8.0,2,1.0,1,1,10.0,53,40:27.9,6027912.0,,,,0,,1,Finished
5970,5971,288,102,senna,1,mclaren,8.0,1,1.0,1,1,10.0,79,43:27.5,6207476.0,,,,0,,1,Finished
5994,5995,289,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,72,36:45.3,5805320.0,,,,0,,1,Finished
6024,6025,290,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,69,31:53.6,5513587.0,,,,0,,1,Finished
6054,6055,291,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,71,36:51.9,5811856.0,,,,0,,1,Finished
6084,6085,292,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,65,56:10.7,6970674.0,,,,0,,1,Finished
6116,6117,293,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,60,28:40.9,5320927.0,,,,0,,1,Finished
6148,6149,294,102,senna,1,mclaren,1.0,3,1.0,1,1,10.0,78,50:59.4,6659372.0,,,,0,,1,Finished
6180,6181,295,77,berger,1,mclaren,2.0,4,1.0,1,1,10.0,69,37:08.3,5828299.0,,,,0,,1,Finished
6211,6212,296,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,69,38:08.5,5888459.0,,,,0,,1,Finished
6241,6242,297,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,59,25:43.0,5142991.0,,,,0,,1,Finished
6273,6274,298,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,45,18:22.0,4702032.0,,,,0,,1,Finished
6305,6306,299,102,senna,1,mclaren,1.0,3,1.0,1,1,10.0,77,46:19.2,6379216.0,,,,0,,1,Finished
6336,6337,300,30,michael_schumacher,22,benetton,19.0,3,1.0,1,1,10.0,44,36:10.7,5770721.0,,,,0,,1,Finished
6366,6367,301,102,senna,1,mclaren,1.0,2,1.0,1,1,10.0,53,18:15.3,4695349.0,,,,0,,1,Finished
6394,6395,302,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,71,34:46.7,5686659.0,,,,0,,1,Finished
6420,6421,303,119,patrese,3,williams,6.0,2,1.0,1,1,10.0,53,33:09.5,5589533.0,,,,0,,1,Finished
6446,6447,304,77,berger,1,mclaren,2.0,4,1.0,1,1,10.0,81,46:54.8,6414786.0,,,,0,,1,Finished
6472,6473,305,102,senna,1,mclaren,1.0,1,1.0,1,1,10.0,81,00:47.8,7247828.0,,,,0,,1,Finished
6506,6507,306,102,senna,1,mclaren,1.0,1,1.0,1,1,10.0,71,38:28.1,5908128.0,,,,0,,1,Finished
6540,6541,307,102,senna,1,mclaren,1.0,1,1.0,1,1,10.0,61,35:14.8,5714750.0,,,,0,,1,Finished
6574,6575,308,102,senna,1,mclaren,1.0,1,1.0,1,1,10.0,78,53:02.3,6782334.0,,,,0,,1,Finished
6608,6609,309,137,piquet,22,benetton,20.0,8,1.0,1,1,10.0,69,38:51.5,5931490.0,,,,0,,1,Finished
6642,6643,310,119,patrese,3,williams,6.0,1,1.0,1,1,10.0,67,29:52.2,5392205.0,,,,0,,1,Finished
6676,6677,311,95,mansell,3,williams,5.0,4,1.0,1,1,10.0,72,38:00.1,5880056.0,,,,0,,1,Finished
6710,6711,312,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,59,27:35.5,5255479.0,,,,0,,1,Finished
6744,6745,313,95,mansell,3,williams,5.0,1,1.0,1,1,10.0,45,19:29.7,4769661.0,,,,0,,1,Finished
6778,6779,314,102,senna,1,mclaren,1.0,1,1.0,1,1,10.0,77,49:12.8,6552796.0,,,,0,,1,Finished
6812,6813,315,102,senna,1,mclaren,1.0,1,1.0,1,1,10.0,44,27:17.7,5237669.0,,,,0,,1,Finished
6846,6847,316,95,mansell,3,williams,5.0,2,1.0,1,1,10.0,53,17:54.3,4674319.0,,,,0,,1,Finished
6880,6881,317,119,patrese,3,williams,6.0,1,1.0,1,1,10.0,71,35:42.3,5742304.0,,,,0,,1,Finished
6914,6915,318,95,mansell,3,williams,5.0,2,1.0,1,1,10.0,65,38:41.5,5921541.0,,,,0,,1,Finished
6947,6948,319,77,berger,1,mclaren,2.0,1,1.0,1,1,10.0,53,32:10.7,5530695.0,,,,0,,1,Finished
6979,6980,320,102,senna,1,mclaren,1.0,1,1.0,1,1,5.0,14,24:34.9,1474899.0,,,,0,,1,Finished
7011,7012,321,102,senna,1,mclaren,27.0,5,1.0,1,1,9.0,72,52:32.8,6752829.0,,,,0,,1,Finished
7046,7047,322,117,prost,6,ferrari,1.0,6,1.0,1,1,9.0,71,37:21.3,5841258.0,,,,0,,1,Finished
7081,7082,323,119,patrese,3,williams,6.0,3,1.0,1,1,9.0,61,30:55.5,5455478.0,,,,0,,1,Finished
7116,7117,324,102,senna,1,mclaren,27.0,1,1.0,1,1,9.0,78,52:47.0,6766982.0,,,,0,,1,Finished
7151,7152,325,102,senna,1,mclaren,27.0,1,1.0,1,1,9.0,70,42:56.4,6176400.0,,,,0,,1,Finished
7186,7187,326,117,prost,6,ferrari,1.0,13,1.0,1,1,9.0,69,32:35.8,5555783.0,,,,0,,1,Finished
7221,7222,327,117,prost,6,ferrari,1.0,4,1.0,1,1,9.0,80,33:29.6,5609606.0,,,,0,,1,Finished
7256,7257,328,117,prost,6,ferrari,1.0,5,1.0,1,1,9.0,64,18:31.0,4710999.0,,,,0,,1,Finished
7291,7292,329,102,senna,1,mclaren,27.0,1,1.0,1,1,9.0,45,20:47.2,4847164.0,,,,0,,1,Finished
7326,7327,330,123,boutsen,3,williams,5.0,1,1.0,1,1,9.0,77,49:30.6,6570597.0,,,,0,,1,Finished
7361,7362,331,102,senna,1,mclaren,27.0,1,1.0,1,1,9.0,44,26:32.0,5191997.0,,,,0,,1,Finished
7394,7395,332,102,senna,1,mclaren,27.0,1,1.0,1,1,9.0,53,17:57.9,4677878.0,,,,0,,1,Finished
7427,7428,333,95,mansell,6,ferrari,2.0,1,1.0,1,1,9.0,61,22:11.0,4931014.0,,,,0,,1,Finished
7460,7461,334,117,prost,6,ferrari,1.0,2,1.0,1,1,9.0,73,48:01.5,6481461.0,,,,0,,1,Finished
7493,7494,335,137,piquet,22,benetton,20.0,6,1.0,1,1,9.0,53,34:36.8,5676824.0,,,,0,,1,Finished
7523,7524,336,137,piquet,22,benetton,20.0,7,1.0,1,1,9.0,81,49:44.6,6584570.0,,,,0,,1,Finished
7553,7554,1,18,button,23,brawn,22.0,1,1.0,1,1,10.0,58,34:15.8,5655784.0,17.0,3.0,01:28.0,88000,216.891,1,Finished
7573,7574,2,18,button,23,brawn,22.0,1,1.0,1,1,5.0,31,10:52.1,4252092.0,18.0,1.0,01:36.6,96600,206.483,1,Finished
7593,7594,3,20,vettel,9,red_bull,15.0,1,1.0,1,1,10.0,56,57:43.5,7063485.0,42.0,2.0,01:52.6,112600,174.235,1,Finished
7613,7614,4,18,button,23,brawn,22.0,4,1.0,1,1,10.0,57,31:48.2,5508182.0,11.0,3.0,01:34.6,94600,205.979,1,Finished
7633,7634,5,18,button,23,brawn,22.0,1,1.0,1,1,10.0,66,37:19.2,5839202.0,17.0,2.0,01:22.9,82900,202.149,1,Finished
7653,7654,6,18,button,23,brawn,22.0,1,1.0,1,1,10.0,78,40:44.3,6044282.0,49.0,2.0,01:15.2,75200,159.914,1,Finished
7673,7674,7,18,button,23,brawn,22.0,2,1.0,1,1,10.0,58,26:24.8,5184848.0,40.0,1.0,01:27.6,87600,219.422,1,Finished
7693,7694,8,20,vettel,9,red_bull,15.0,1,1.0,1,1,10.0,60,22:49.3,4969328.0,16.0,1.0,01:20.7,80700,229.238,1,Finished
7713,7714,9,17,webber,9,red_bull,14.0,1,1.0,1,1,10.0,60,36:43.3,5803310.0,37.0,3.0,01:34.0,94000,197.151,1,Finished
7733,7734,10,1,hamilton,1,mclaren,1.0,4,1.0,1,1,10.0,70,38:23.9,5903876.0,16.0,4.0,01:22.5,82500,191.219,1,Finished
7753,7754,11,22,barrichello,23,brawn,23.0,3,1.0,1,1,10.0,57,35:51.3,5751289.0,39.0,3.0,01:39.0,99000,197.074,1,Finished
7773,7774,12,8,raikkonen,6,ferrari,4.0,6,1.0,1,1,10.0,44,23:51.0,5030995.0,42.0,4.0,01:47.7,107700,234.173,1,Finished
7793,7794,13,22,barrichello,23,brawn,23.0,5,1.0,1,1,10.0,53,16:21.7,4581706.0,48.0,5.0,01:25.0,85000,245.445,1,Finished
7813,7814,14,1,hamilton,1,mclaren,1.0,1,1.0,1,1,10.0,61,56:06.3,6966337.0,36.0,2.0,01:48.3,108300,168.561,1,Finished
7833,7834,15,20,vettel,9,red_bull,15.0,1,1.0,1,1,10.0,53,28:20.4,5300443.0,43.0,2.0,01:32.6,92600,225.826,1,Finished
7853,7854,16,17,webber,9,red_bull,14.0,2,1.0,1,1,10.0,71,32:23.1,5543081.0,25.0,1.0,01:13.7,73700,210.386,1,Finished
7873,7874,356,95,mansell,6,ferrari,27.0,6,1.0,1,1,9.0,61,38:58.7,5938744.0,,,,0,,1,Finished
7911,7912,357,102,senna,1,mclaren,1.0,1,1.0,1,1,9.0,58,26:51.2,5211245.0,,,,0,,1,Finished
7950,7951,358,102,senna,1,mclaren,1.0,1,1.0,1,1,9.0,77,53:33.3,6813251.0,,,,0,,1,Finished
7988,7989,359,102,senna,1,mclaren,1.0,1,1.0,1,1,9.0,69,35:21.4,5721431.0,,,,0,,1,Finished
8027,8028,360,117,prost,1,mclaren,2.0,2,1.0,1,1,9.0,75,01:33.1,7293133.0,,,,0,,1,Finished
8066,8067,361,123,boutsen,3,williams,5.0,6,1.0,1,1,9.0,69,01:24.1,7284073.0,,,,0,,1,Finished
8105,8106,362,117,prost,1,mclaren,2.0,1,1.0,1,1,9.0,80,38:29.4,5909411.0,,,,0,,1,Finished
8144,8145,363,117,prost,1,mclaren,2.0,2,1.0,1,1,9.0,64,19:22.1,4762131.0,,,,0,,1,Finished
8183,8184,364,102,senna,1,mclaren,1.0,1,1.0,1,1,9.0,45,21:43.3,4903302.0,,,,0,,1,Finished
8221,8222,365,95,mansell,6,ferrari,27.0,12,1.0,1,1,9.0,77,49:38.7,6578650.0,,,,0,,1,Finished
8260,8261,366,102,senna,1,mclaren,1.0,1,1.0,1,1,9.0,44,40:54.2,6054196.0,,,,0,,1,Finished
8299,8300,367,117,prost,1,mclaren,2.0,4,1.0,1,1,9.0,53,19:27.5,4767550.0,,,,0,,1,Finished
8338,8339,368,77,berger,6,ferrari,28.0,2,1.0,1,1,9.0,71,36:48.5,5808546.0,,,,0,,1,Finished
8377,8378,369,102,senna,1,mclaren,1.0,1,1.0,1,1,9.0,73,47:48.3,6468264.0,,,,0,,1,Finished
8415,8416,370,145,nannini,22,benetton,19.0,6,1.0,1,1,9.0,53,35:06.3,5706277.0,,,,0,,1,Finished
8454,8455,371,123,boutsen,3,williams,5.0,5,1.0,1,1,9.0,70,00:17.4,7217421.0,,,,0,,1,Finished
8493,8494,372,117,prost,1,mclaren,11.0,3,1.0,1,1,9.0,60,36:06.9,5766857.0,,,,0,,1,Finished
8524,8525,373,102,senna,1,mclaren,12.0,1,1.0,1,1,9.0,60,32:41.3,5561264.0,,,,0,,1,Finished
8554,8555,374,117,prost,1,mclaren,11.0,2,1.0,1,1,9.0,78,57:17.1,7037077.0,,,,0,,1,Finished
8585,8586,375,117,prost,1,mclaren,11.0,2,1.0,1,1,9.0,67,30:15.7,5415737.0,,,,0,,1,Finished
8616,8617,376,102,senna,1,mclaren,12.0,1,1.0,1,1,9.0,69,39:46.6,5986618.0,,,,0,,1,Finished
8647,8648,377,102,senna,1,mclaren,12.0,1,1.0,1,1,9.0,63,54:56.0,6896035.0,,,,0,,1,Finished
8678,8679,378,117,prost,1,mclaren,11.0,1,1.0,1,1,9.0,80,37:37.3,5857328.0,,,,0,,1,Finished
8709,8710,379,102,senna,1,mclaren,12.0,3,1.0,1,1,9.0,65,33:16.4,5596367.0,,,,0,,1,Finished
8740,8741,380,102,senna,1,mclaren,12.0,1,1.0,1,1,9.0,44,32:54.2,5574188.0,,,,0,,1,Finished
8771,8772,381,102,senna,1,mclaren,12.0,1,1.0,1,1,9.0,76,57:47.1,7067081.0,,,,0,,1,Finished
8802,8803,382,102,senna,1,mclaren,12.0,1,1.0,1,1,9.0,43,28:00.5,5280549.0,,,,0,,1,Finished
8833,8834,383,77,berger,6,ferrari,28.0,3,1.0,1,1,9.0,51,17:39.7,4659744.0,,,,0,,1,Finished
8864,8865,384,117,prost,1,mclaren,11.0,1,1.0,1,1,9.0,70,37:41.0,5860958.0,,,,0,,1,Finished
8895,8896,385,117,prost,1,mclaren,11.0,2,1.0,1,1,9.0,72,48:43.9,6523851.0,,,,0,,1,Finished
8926,8927,386,102,senna,1,mclaren,12.0,1,1.0,1,1,9.0,51,33:26.2,5606173.0,,,,0,,1,Finished
8957,8958,387,117,prost,1,mclaren,11.0,2,1.0,1,1,9.0,82,53:14.7,6794676.0,,,,0,,1,Finished
8988,8989,388,117,prost,1,mclaren,1.0,5,1.0,1,1,9.0,61,39:45.1,5985141.0,,,,0,,1,Finished
9011,9012,389,95,mansell,3,williams,5.0,2,1.0,1,1,9.0,59,31:24.1,5484076.0,,,,0,,1,Finished
9038,9039,390,117,prost,1,mclaren,1.0,6,1.0,1,1,9.0,43,27:03.2,5223217.0,,,,0,,1,Finished
9064,9065,391,102,senna,32,team_lotus,12.0,2,1.0,1,1,9.0,78,57:54.1,7074085.0,,,,0,,1,Finished
9090,9091,392,102,senna,32,team_lotus,12.0,2,1.0,1,1,9.0,63,50:16.4,6616358.0,,,,0,,1,Finished
9116,9117,393,95,mansell,3,williams,5.0,1,1.0,1,1,9.0,80,37:03.8,5823839.0,,,,0,,1,Finished
9142,9143,394,95,mansell,3,williams,5.0,2,1.0,1,1,9.0,65,19:11.8,4751780.0,,,,0,,1,Finished
9168,9169,395,137,piquet,3,williams,6.0,4,1.0,1,1,9.0,44,21:25.1,4885091.0,,,,0,,1,Finished
9194,9195,396,137,piquet,3,williams,6.0,3,1.0,1,1,9.0,76,59:26.8,7166793.0,,,,0,,1,Finished
9220,9221,397,95,mansell,3,williams,5.0,2,1.0,1,1,9.0,52,18:44.9,4724898.0,,,,0,,1,Finished
9246,9247,398,137,piquet,3,williams,6.0,1,1.0,1,1,9.0,50,14:47.7,4487707.0,,,,0,,1,Finished
9274,9275,399,117,prost,1,mclaren,1.0,3,1.0,1,1,9.0,70,37:03.9,5823906.0,,,,0,,1,Finished
9300,9301,400,95,mansell,3,williams,5.0,2,1.0,1,1,9.0,72,49:12.7,6552692.0,,,,0,,1,Finished
9327,9328,401,95,mansell,3,williams,5.0,1,1.0,1,1,9.0,63,26:24.2,5184207.0,,,,0,,1,Finished
9353,9354,402,77,berger,6,ferrari,28.0,1,1.0,1,1,9.0,51,32:58.1,5578072.0,,,,0,,1,Finished
9380,9381,403,77,berger,6,ferrari,28.0,1,1.0,1,1,9.0,82,52:56.1,6776144.0,,,,0,,1,Finished
9407,9408,404,137,piquet,3,williams,6.0,2,1.0,1,1,9.0,61,39:32.6,5972583.0,,,,0,,1,Finished
9432,9433,405,102,senna,32,team_lotus,12.0,1,1.0,1,1,9.0,72,48:47.7,6527735.0,,,,0,,1,Finished
9457,9458,406,117,prost,1,mclaren,1.0,4,1.0,1,1,9.0,60,32:28.4,5548408.0,,,,0,,1,Finished
9483,9484,407,117,prost,1,mclaren,1.0,1,1.0,1,1,9.0,78,55:41.1,6941060.0,,,,0,,1,Finished
9508,9509,408,95,mansell,3,williams,5.0,5,1.0,1,1,9.0,43,27:57.9,5277925.0,,,,0,,1,Finished
9533,9534,409,95,mansell,3,williams,5.0,1,1.0,1,1,9.0,69,42:26.4,6146415.0,,,,0,,1,Finished
9558,9559,410,102,senna,32,team_lotus,12.0,1,1.0,1,1,9.0,63,51:12.8,6672847.0,,,,0,,1,Finished
9584,9585,411,95,mansell,3,williams,5.0,2,1.0,1,1,9.0,80,37:19.3,5839272.0,,,,0,,1,Finished
9610,9611,412,95,mansell,3,williams,5.0,2,1.0,1,1,9.0,75,30:38.5,5438471.0,,,,0,,1,Finished
9636,9637,413,137,piquet,3,williams,6.0,5,1.0,1,1,9.0,44,22:08.3,4928263.0,,,,0,,1,Finished
9662,9663,414,137,piquet,3,williams,6.0,2,1.0,1,1,9.0,76,00:34.5,7234508.0,,,,0,,1,Finished
9688,9689,415,117,prost,1,mclaren,1.0,5,1.0,1,1,9.0,52,21:22.5,4882531.0,,,,0,,1,Finished
9714,9715,416,137,piquet,3,williams,6.0,6,1.0,1,1,9.0,51,17:42.9,4662889.0,,,,0,,1,Finished
9741,9742,417,95,mansell,3,williams,5.0,2,1.0,1,1,9.0,70,37:21.9,5841900.0,,,,0,,1,Finished
9768,9769,418,77,berger,22,benetton,20.0,4,1.0,1,1,9.0,68,33:18.7,5598700.0,,,,0,,1,Finished
9793,9794,419,117,prost,1,mclaren,1.0,4,1.0,1,1,9.0,82,54:20.4,6860388.0,,,,0,,1,Finished
9819,9820,420,117,prost,1,mclaren,2.0,6,1.0,1,1,9.0,61,41:26.1,6086115.0,,,,0,,1,Finished
9844,9845,421,102,senna,32,team_lotus,12.0,1,1.0,1,1,9.0,67,00:28.0,7228006.0,,,,0,,1,Finished
9870,9871,422,173,angelis,32,team_lotus,11.0,3,1.0,1,1,9.0,60,34:36.0,5675955.0,,,,0,,1,Finished
9896,9897,423,117,prost,1,mclaren,2.0,5,1.0,1,1,9.0,78,51:58.0,6718034.0,,,,0,,1,Finished
9921,9922,424,105,alboreto,6,ferrari,27.0,3,1.0,1,1,9.0,70,46:01.8,6361813.0,,,,0,,1,Finished
9946,9947,425,177,keke_rosberg,3,williams,6.0,5,1.0,1,1,9.0,63,55:39.9,6939851.0,,,,0,,1,Finished
9971,9972,426,137,piquet,34,brabham,7.0,5,1.0,1,1,9.0,53,31:46.3,5506266.0,,,,0,,1,Finished
9997,9998,427,117,prost,1,mclaren,2.0,3,1.0,1,1,9.0,65,18:10.4,4690436.0,,,,0,,1,Finished
10023,10024,428,105,alboreto,6,ferrari,27.0,8,1.0,1,1,9.0,67,35:31.3,5731337.0,,,,0,,1,Finished
10050,10051,429,117,prost,1,mclaren,2.0,1,1.0,1,1,9.0,52,20:12.6,4812583.0,,,,0,,1,Finished
10077,10078,430,182,lauda,1,mclaren,1.0,10,1.0,1,1,9.0,70,32:29.3,5549263.0,,,,0,,1,Finished
10103,10104,431,117,prost,1,mclaren,2.0,5,1.0,1,1,9.0,51,17:59.5,4679451.0,,,,0,,1,Finished
10129,10130,432,102,senna,32,team_lotus,12.0,2,1.0,1,1,9.0,43,34:19.9,5659893.0,,,,0,,1,Finished
10153,10154,433,95,mansell,3,williams,5.0,3,1.0,1,1,9.0,75,32:58.1,5578109.0,,,,0,,1,Finished
10179,10180,434,95,mansell,3,williams,5.0,1,1.0,1,1,9.0,75,28:22.9,5302866.0,,,,0,,1,Finished
10200,10201,435,177,keke_rosberg,3,williams,6.0,3,1.0,1,1,9.0,82,00:40.5,7240473.0,,,,0,,1,Finished
10225,10226,436,117,prost,1,mclaren,7.0,4,1.0,1,1,9.0,61,42:34.5,6154492.0,,,,0,,1,Finished
10252,10253,437,182,lauda,1,mclaren,8.0,8,1.0,1,1,9.0,75,29:23.4,5363430.0,,,,0,,1,Finished
10279,10280,438,105,alboreto,6,ferrari,27.0,1,1.0,1,1,9.0,70,36:32.0,5792048.0,,,,0,,1,Finished
10306,10307,439,117,prost,1,mclaren,7.0,2,1.0,1,1,9.0,60,36:53.7,5813679.0,,,,0,,1,Finished
10334,10335,440,182,lauda,1,mclaren,8.0,9,1.0,1,1,9.0,79,31:12.0,5471951.0,,,,0,,1,Finished
10360,10361,441,117,prost,1,mclaren,7.0,1,1.0,1,1,4.5,31,01:07.7,3667740.0,,,,0,,1,Finished
10387,10388,442,137,piquet,34,brabham,1.0,1,1.0,1,1,9.0,70,46:23.7,6383748.0,,,,0,,1,Finished
10413,10414,443,137,piquet,34,brabham,1.0,1,1.0,1,1,9.0,63,55:41.8,6941842.0,,,,0,,1,Finished
10440,10441,444,177,keke_rosberg,3,williams,6.0,8,1.0,1,1,9.0,67,01:22.6,7282617.0,,,,0,,1,Finished
10466,10467,445,182,lauda,1,mclaren,8.0,3,1.0,1,1,9.0,71,29:28.5,5368532.0,,,,0,,1,Finished
10494,10495,446,117,prost,1,mclaren,7.0,1,1.0,1,1,9.0,44,24:43.2,5083210.0,,,,0,,1,Finished
10521,10522,447,182,lauda,1,mclaren,8.0,4,1.0,1,1,9.0,51,21:12.9,4872851.0,,,,0,,1,Finished
10548,10549,448,117,prost,1,mclaren,7.0,1,1.0,1,1,9.0,71,37:21.5,5841468.0,,,,0,,1,Finished
10575,10576,449,182,lauda,1,mclaren,8.0,4,1.0,1,1,9.0,51,20:29.1,4829065.0,,,,0,,1,Finished
10602,10603,450,117,prost,1,mclaren,7.0,2,1.0,1,1,9.0,67,35:13.3,5713284.0,,,,0,,1,Finished
10628,10629,451,117,prost,1,mclaren,7.0,2,1.0,1,1,9.0,70,41:11.8,6071753.0,,,,0,,1,Finished
10655,10656,452,137,piquet,34,brabham,5.0,4,1.0,1,1,9.0,63,48:27.7,6507731.0,,,,0,,1,Finished
10683,10684,453,187,watson,1,mclaren,7.0,22,1.0,1,1,9.0,75,53:34.9,6814889.0,,,,0,,1,Finished
10711,10712,454,117,prost,4,renault,15.0,1,1.0,1,1,9.0,54,34:13.9,5653913.0,,,,0,,1,Finished
10740,10741,455,175,tambay,6,ferrari,27.0,3,1.0,1,1,9.0,60,37:52.5,5872460.0,,,,0,,1,Finished
